infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
commérer,commère,commères,commère,commérons,commérez,commèrent,commérais,commérais,commérait,commérions,commériez,comméraient,commèrerai;commérerai,commèreras;comméreras,commèrera;commérera,commèrerons;commérerons,commèrerez;commérerez,commèreront;comméreront
conditionner,conditionne,conditionnes,conditionne,conditionnons,conditionnez,conditionnent,conditionnais,conditionnais,conditionnait,conditionnions,conditionniez,conditionnaient,conditionnerai,conditionneras,conditionnera,conditionnerons,conditionnerez,conditionneront
confisquer,confisque,confisques,confisque,confisquons,confisquez,confisquent,confisquais,confisquais,confisquait,confisquions,confisquiez,confisquaient,confisquerai,confisqueras,confisquera,confisquerons,confisquerez,confisqueront
concorder,concorde,concordes,concorde,concordons,concordez,concordent,concordais,concordais,concordait,concordions,concordiez,concordaient,concorderai,concorderas,concordera,concorderons,concorderez,concorderont
commercialiser,commercialise,commercialises,commercialise,commercialisons,commercialisez,commercialisent,commercialisais,commercialisais,commercialisait,commercialisions,commercialisiez,commercialisaient,commercialiserai,commercialiseras,commercialisera,commercialiserons,commercialiserez,commercialiseront
controverser,controverse,controverses,controverse,controversons,controversez,controversent,controversais,controversais,controversait,controversions,controversiez,controversaient,controverserai,controverseras,controversera,controverserons,controverserez,controverseront
compoter,compote,compotes,compote,compotons,compotez,compotent,compotais,compotais,compotait,compotions,compotiez,compotaient,compoterai,compoteras,compotera,compoterons,compoterez,compoteront
corriger,corrige,corriges,corrige,corrigeons,corrigez,corrigent,corrigeais,corrigeais,corrigeait,corrigions,corrigiez,corrigeaient,corrigerai,corrigeras,corrigera,corrigerons,corrigerez,corrigeront
configurer,configure,configures,configure,configurons,configurez,configurent,configurais,configurais,configurait,configurions,configuriez,configuraient,configurerai,configureras,configurera,configurerons,configurerez,configureront
connoter,connote,connotes,connote,connotons,connotez,connotent,connotais,connotais,connotait,connotions,connotiez,connotaient,connoterai,connoteras,connotera,connoterons,connoterez,connoteront
conjecturer,conjecture,conjectures,conjecture,conjecturons,conjecturez,conjecturent,conjecturais,conjecturais,conjecturait,conjecturions,conjecturiez,conjecturaient,conjecturerai,conjectureras,conjecturera,conjecturerons,conjecturerez,conjectureront
contrebalancer,contrebalance,contrebalances,contrebalance,contrebalançons,contrebalancez,contrebalancent,contrebalançais,contrebalançais,contrebalançait,contrebalancions,contrebalanciez,contrebalançaient,contrebalancerai,contrebalanceras,contrebalancera,contrebalancerons,contrebalancerez,contrebalanceront
contingenter,contingente,contingentes,contingente,contingentons,contingentez,contingentent,contingentais,contingentais,contingentait,contingentions,contingentiez,contingentaient,contingenterai,contingenteras,contingentera,contingenterons,contingenterez,contingenteront
